"品名","CAS号"
"高氯酸[含酸50%-72%]","7601-90-3"
"氯酸钾","3811-04-9"
"氯酸钠","7775-09-9"
"高氯酸钾","7778-74-7"
"高氯酸锂","7791-03-9"
"高氯酸铵","7790-98-9"
"高氯酸钠","7601-89-0"
"硝酸[含硝酸≥70%]","7697-37-2"
"硝酸钾","7757-79-1"
"硝酸钡","10022-31-8"
"硝酸锶","10042-76-9"
"硝酸钠","7631-99-4"
"硝酸银","7761-88-8"
"硝酸铅","10099-74-8"
"硝酸镍","14216-75-2"
"硝酸镁","10377-60-3"
"硝酸钙","10124-37-5"
"硝酸锌","7779-88-6"
"硝酸铯","7789-18-6"
"硝基甲烷","75-52-5"
"硝基乙烷","79-24-3"
"硝化纤维素","9004-70-0"
"2，4-二硝基甲苯","121-14-2"
"2，6-二硝基甲苯","606-20-2"
"二硝基(苯)酚[干的或含水＜15%]","25550-58-7"
"二硝基间苯二酚[干的或含水＜15%]","519-44-8"
"过氧化氢溶液","7722-84-1"
"过氧乙酸","79-21-0"
"过氧化钾","17014-71-0"
"过氧化钠","1313-60-6"
"过氧化锂","12031-80-0"
"过氧化钙","1305-79-9"
"过氧化镁","1335-26-8"
"过氧化锌","1314-22-3"
"过氧化钡","1304-29-6"
"过氧化锶","1314-18-7"
"过氧化氢尿素","124-43-6"
"过氧化二异丙苯[工业纯]","80-43-3"
"超氧化钾","12030-88-5"
"超氧化钠","12034-12-7"
"环六亚甲基四胺[乌洛托品]","100-97-0"
"甲胺[无水]","74-89-5"
"乙二胺","107-15-3"
"硫磺":"7704-34-9"
"铝粉[未涂层的]":"7429-90-5"
"金属锂":"7439-93-2"
"金属钠":"7440-23-5"
"金属钾":"7440-09-7"
"金属锆粉[干燥的]":"7440-67-7"
"锑粉":"7440-36-0"
"镁粉（发火的）":"7439-95-4"
"锌粉或锌尘（发火的）":"7440-66-6"
"硼氢化钠":"16940-66-2"
"硼氢化锂":"16949-15-8"
"硼氢化钾":"13762-51-1"
"苦氨酸钠[含水≥20%]":"831-52-7"
"高锰酸钠":"10101-50-5"
"高锰酸钾":"7722-64-7"
